City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,port alfred,-33.5906,26.891,72.18,40,16,11.79,ZA,1714972606
249,vakhsh,37.7149,68.8346,77.22,44,40,2.24,TJ,1714972606
250,aasiaat,68.7098,-52.8699,4.39,97,82,5.86,GL,1714972606
251,gadzhiyevo,69.2551,33.3362,29.71,75,100,19.24,RU,1714972606
252,nasiriyah,31.0521,46.261,83.1,28,44,24.23,IQ,1714972606
253,kuala lipis,4.1842,102.0468,90.95,62,30,0.74,MY,1714972606
254,hammerfest,70.6634,23.6821,30.65,74,75,6.91,NO,1714972606
255,itau de minas,-20.7394,-46.7522,60.85,74,0,3.96,BR,1714972606
256,bari sadri,24.4167,74.4667,96.24,18,1,5.1,IN,1714972607
257,talara,-4.5772,-81.2719,69.66,83,80,14.67,PE,1714972607
258,saipan,15.1355,145.701,90.3,58,40,12.01,MP,1714972607
259,motupe,-6.1519,-79.7142,65.43,79,52,1.83,PE,1714972607
260,blantyre,-15.785,35.0085,65.01,77,20,5.75,MW,1714972607
261,chibougamau,49.9168,-74.3659,38.82,100,40,2.3,CA,1714972607
262,vikhorevka,56.1201,101.1636,71.19,27,98,15.59,RU,1714972607
263,conde,-7.2597,-34.9075,74.66,100,20,3.44,BR,1714972607
264,petropavlovsk-kamchatsky,53.0452,158.6483,39.79,78,100,8.95,RU,1714972607
265,semnan,35.5729,53.3971,72.0,26,47,1.77,IR,1714972608
266,fort bragg,35.139,-79.006,70.2,93,23,1.99,US,1714972608
267,ciurea,47.05,27.5667,55.78,68,0,10.36,RO,1714972608
268,port augusta,-32.5,137.7667,71.94,35,0,13.78,AU,1714972608
269,dolyns'ka,48.1104,32.7645,54.68,57,37,13.6,UA,1714972608
270,flying fish cove,-10.4217,105.6791,82.08,78,75,14.97,CX,1714972608
271,maihar,24.2667,80.75,103.21,10,2,7.92,IN,1714972608
272,caleta de carquin,-11.0925,-77.6267,66.7,90,67,9.82,PE,1714972608
273,puerto armuelles,8.2833,-82.8667,81.09,72,96,1.01,PA,1714972608
274,jambi city,-1.6,103.6167,86.68,76,55,2.21,ID,1714972608
275,calama,-22.4667,-68.9333,55.13,30,1,3.47,CL,1714972512
276,figuig (centre),32.1089,-1.2286,65.75,13,64,0.92,MA,1714972609
277,kourou,5.1552,-52.6478,80.65,89,73,8.63,GF,1714972609
278,lincoln,40.8,-96.667,55.53,82,0,9.22,US,1714972529
279,greenville,35.6127,-77.3663,69.96,97,100,5.75,US,1714972609
280,ronne,55.1009,14.7066,48.11,100,100,4.61,DK,1714972609
281,salalah,17.0151,54.0924,89.69,74,75,9.22,OM,1714972609
282,bonanza,14.0289,-84.591,70.75,95,30,0.76,NI,1714972609
283,bay roberts,47.5999,-53.2648,33.51,96,34,1.01,CA,1714972609
284,igarka,67.4667,86.5833,33.03,99,100,10.0,RU,1714972610
285,zhangzhou,24.5133,117.6556,89.65,53,89,2.35,CN,1714972610
286,krasnoufimsk,56.6059,57.7669,36.93,97,100,16.31,RU,1714972610
287,newman,37.3138,-121.0208,55.26,69,23,3.0,US,1714972610
288,ceeldheer,3.8488,47.1806,83.34,73,74,13.49,SO,1714972610
289,norilsk,69.3535,88.2027,22.42,71,100,3.13,RU,1714972451
290,santa cruz,-17.8,-63.1667,77.29,77,6,15.5,BO,1714972321
291,punta arenas,-53.15,-70.9167,35.71,80,75,8.05,CL,1714972610
292,gorom-gorom,14.4439,-0.2361,89.01,34,7,6.58,BF,1714972610
293,mili,6.0815,171.735,82.36,82,100,15.41,MH,1714972610
294,el calafate,-50.3408,-72.2768,25.29,62,2,4.88,AR,1714972611
295,bel ombre,-4.6167,55.4167,80.44,89,40,16.11,SC,1714972611
296,pandan,14.0453,124.1694,86.77,61,72,13.38,PH,1714972611
297,rafov,44.8667,26.1333,60.66,91,6,4.63,RO,1714972611
298,cukai,4.25,103.4167,89.38,60,41,4.05,MY,1714972611
299,cockburn town,21.4612,-71.1419,77.77,84,96,21.5,TC,1714972611
300,beoumi,7.6736,-5.5764,74.73,95,100,3.51,CI,1714972611
301,belyy yar,53.6039,91.3903,53.49,82,40,6.71,RU,1714972611
302,camana,-16.6228,-72.7111,68.14,89,95,5.97,PE,1714972611
303,mangochi,-14.4782,35.2645,69.87,76,5,4.41,MW,1714972611
304,rosarito,32.3333,-117.0333,57.24,65,10,5.44,MX,1714972612
305,bubaque,11.2833,-15.8333,79.3,66,11,7.31,GW,1714972612
306,catalao,-18.1658,-47.9464,62.69,73,3,5.77,BR,1714972612
307,mendoza,-32.8908,-68.8272,53.33,54,0,3.31,AR,1714972501
308,kodiak,57.79,-152.4072,44.11,70,100,5.75,US,1714972612
309,sinabang,2.4803,96.3801,88.56,65,69,1.03,ID,1714972612
310,nishinoomote,30.7333,131.0,73.96,94,75,11.5,JP,1714972612
311,quincy,42.2529,-71.0023,51.1,95,100,4.61,US,1714972373
312,arauco,-37.2463,-73.3175,49.12,82,96,8.12,CL,1714972612
313,rongelap,11.1635,166.8941,81.7,80,68,17.56,MH,1714972612
314,braganca,-1.0536,-46.7656,74.97,100,100,1.77,BR,1714972613
315,tosontsengel,48.7567,98.2839,71.67,15,5,10.4,MN,1714972613
316,gannavaram,16.5333,80.8,96.78,56,40,9.22,IN,1714972613
317,shenjiamen,29.9576,122.298,68.11,75,87,8.03,CN,1714972613
318,collie,-33.3667,116.15,68.02,46,22,6.29,AU,1714972613
319,vieste,41.8825,16.175,63.64,69,12,4.47,IT,1714972613
320,guarapari,-20.6667,-40.4975,75.92,86,36,4.61,BR,1714972489
321,greymouth,-42.4667,171.2,52.12,74,75,3.31,NZ,1714972613
322,sarina,-21.4333,149.2167,79.27,2,74,9.78,AU,1714972613
323,san pedro pochutla,15.7333,-96.4667,79.52,64,6,3.49,MX,1714972613
324,bamboo flat,11.7,92.7167,91.49,62,40,5.75,IN,1714972614
325,papatowai,-46.5619,169.4708,45.57,63,74,11.65,NZ,1714972614
326,weligama,5.9667,80.4167,89.42,66,63,8.46,LK,1714972614
327,naryn,41.4287,75.9911,55.49,53,63,5.46,KG,1714972614
328,baoro,5.6667,15.9667,69.84,55,16,2.42,CF,1714972614
329,paidha,2.4167,30.9855,67.06,75,73,2.55,UG,1714972614
330,las lomas,8.4333,-82.4,75.4,88,76,8.01,PA,1714972587
331,upper grand lagoon,30.1633,-85.7408,74.08,94,0,4.0,US,1714972614
332,sittwe,20.15,92.9,89.15,62,53,10.18,MM,1714972614
333,torghay,49.6339,63.4981,58.06,31,71,8.88,KZ,1714972615
334,posto fiscal rolim de moura,-13.0833,-62.2667,75.78,86,16,1.16,BR,1714972615
335,sanga-sanga,5.0725,119.7853,84.6,68,50,6.69,PH,1714972615
336,zouerate,22.7187,-12.4521,74.59,16,9,9.28,MR,1714972615
337,hithadhoo,-0.6,73.0833,85.64,74,45,10.89,MV,1714972615
338,jaru,-10.4389,-62.4664,74.75,92,41,0.81,BR,1714972532
339,kupang,-10.1667,123.5833,93.78,59,40,13.8,ID,1714972615
340,vadso,70.0744,29.7487,32.16,80,75,5.75,NO,1714972615
341,pasuquin,18.3328,120.6177,89.49,60,32,15.28,PH,1714972615
342,remire-montjoly,4.9167,-52.2667,80.64,94,75,3.44,GF,1714972616
343,marat,25.0701,45.4615,83.68,21,0,19.1,SA,1714972616
344,pennagaram,12.1333,77.9,88.99,31,15,5.48,IN,1714972616
345,queenstown,-31.8976,26.8753,55.58,42,1,6.87,ZA,1714972616
346,nyandoma,61.669,40.1991,30.9,52,58,7.9,RU,1714972616
347,ati,13.2154,18.3353,83.14,16,0,11.32,TD,1714972616
348,tobelo,1.7284,128.0095,85.48,66,91,4.56,ID,1714972616
349,usogorsk,63.4106,48.6872,29.66,68,59,7.11,RU,1714972616
350,galesong,-5.3166,119.3661,89.62,75,96,9.91,ID,1714972616
351,amga,60.8953,131.9608,53.35,45,68,5.44,RU,1714972617
352,jam sahib,26.2958,68.6292,102.0,19,0,1.3,PK,1714972617
353,egilsstadir,65.2653,-14.3948,37.31,65,20,10.36,IS,1714972617
354,sosnovo-ozerskoye,52.5249,111.5418,61.68,32,7,3.0,RU,1714972617
355,conceicao da barra,-18.5933,-39.7322,73.8,95,14,5.61,BR,1714972617
356,pacocha,-17.5833,-71.3333,66.74,89,92,4.59,PE,1714972617
357,st. john's,47.5649,-52.7093,33.15,94,35,3.0,CA,1714972369
358,kodinsk,58.6881,99.1844,66.43,65,100,11.95,RU,1714972617
359,cidreira,-30.1811,-50.2056,70.11,96,39,7.92,BR,1714972617
360,changji,44.0167,87.3167,77.79,36,70,13.42,CN,1714972618
361,okhotsk,59.3833,143.3,39.16,79,46,8.37,RU,1714972618
362,sisimiut,66.9395,-53.6735,15.01,89,63,7.92,GL,1714972618
